05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
FCCC,0644 0645,‎ﳌ‎,‎لم‎,ARABIC LIGATURE LAM WITH MEEM INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER MEEM
FCED,0644 0645,‎ﳭ‎,‎لم‎,ARABIC LIGATURE LAM WITH MEEM MEDIAL FORM,ABIC LETTER LAM, ARABIC LETTER MEEM
FC85,0644 0645,‎ﲅ‎,‎لم‎,ARABIC LIGATURE LAM WITH MEEM FINAL FORM,ABIC LETTER LAM, ARABIC LETTER MEEM
FC42,0644 0645,‎ﱂ‎,‎لم‎,ARABIC LIGATURE LAM WITH MEEM ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER MEEM
FD88,0644 0645 062D,‎ﶈ‎,‎لمح‎,ARABIC LIGATURE LAM WITH MEEM WITH HAH INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER MEEM, ARABIC LETTER HAH
FD87,0644 0645 062D,‎ﶇ‎,‎لمح‎,ARABIC LIGATURE LAM WITH MEEM WITH HAH FINAL FORM,ABIC LETTER LAM, ARABIC LETTER MEEM, ARABIC LETTER HAH
FDAD,0644 0645 0649,‎ﶭ‎,‎لمى‎,ARABIC LIGATURE LAM WITH MEEM WITH YEH FINAL FORM,ABIC LETTER LAM, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC86,0644 0649,‎ﲆ‎,‎لى‎,ARABIC LIGATURE LAM WITH ALEF MAKSURA FINAL FORM,ABIC LETTER LAM, ARABIC LETTER ALEF MAKSURA
FC43,0644 0649,‎ﱃ‎,‎لى‎,ARABIC LIGATURE LAM WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER ALEF MAKSURA
FC87,0644 0649,‎ﲇ‎,‎لى‎,ARABIC LIGATURE LAM WITH YEH FINAL FORM,ABIC LETTER LAM, ARABIC LETTER ALEF MAKSURA
FC44,0644 0649,‎ﱄ‎,‎لى‎,ARABIC LIGATURE LAM WITH YEH ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER ALEF MAKSURA
1EE0C,0645,‎𞸌‎,‎م‎,ARABIC MATHEMATICAL MEEM,ABIC LETTER MEEM
1EE2C,0645,‎𞸬‎,‎م‎,ARABIC MATHEMATICAL INITIAL MEEM,ABIC LETTER MEEM
1EE6C,0645,‎𞹬‎,‎م‎,ARABIC MATHEMATICAL STRETCHED MEEM,ABIC LETTER MEEM
1EE8C,0645,‎𞺌‎,‎م‎,ARABIC MATHEMATICAL LOOPED MEEM,ABIC LETTER MEEM
1EEAC,0645,‎𞺬‎,‎م‎,ARABIC MATHEMATICAL DOUBLE-STRUCK MEEM,ABIC LETTER MEEM
FEE3,0645,‎ﻣ‎,‎م‎,ARABIC LETTER MEEM INITIAL FORM,ABIC LETTER MEEM
FEE4,0645,‎ﻤ‎,‎م‎,ARABIC LETTER MEEM MEDIAL FORM,ABIC LETTER MEEM
FEE2,0645,‎ﻢ‎,‎م‎,ARABIC LETTER MEEM FINAL FORM,ABIC LETTER MEEM
FEE1,0645,‎ﻡ‎,‎م‎,ARABIC LETTER MEEM ISOLATED FORM,ABIC LETTER MEEM
08A7,0645 06DB,‎ࢧ‎,‎مۛ‎,ARABIC LETTER MEEM WITH THREE DOTS ABOVE,ABIC LETTER MEEM, ARABIC SMALL HIGH THREE DOTS
06FE,0645 0348,‎۾‎,‎م͈‎,ARABIC SIGN SINDHI POSTPOSITION MEN,ABIC LETTER MEEM, COMBINING DOUBLE VERTICAL LINE BELOW
FC88,0645 006C,‎ﲈ‎,‎مl‎,ARABIC LIGATURE MEEM WITH ALEF FINAL FORM,ABIC LETTER MEEM, LATIN SMALL LETTER L
FCCE,0645 062C,‎ﳎ‎,‎مج‎,ARABIC LIGATURE MEEM WITH JEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER JEEM
FC45,0645 062C,‎ﱅ‎,‎مج‎,ARABIC LIGATURE MEEM WITH JEEM ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER JEEM
FD8C,0645 062C 062D,‎ﶌ‎,‎مجح‎,ARABIC LIGATURE MEEM WITH JEEM WITH HAH INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER JEEM, ARABIC LETTER HAH
FD92,0645 062C 062E,‎ﶒ‎,‎مجخ‎,ARABIC LIGATURE MEEM WITH JEEM WITH KHAH INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER JEEM, ARABIC LETTER KHAH
FD8D,0645 062C 0645,‎ﶍ‎,‎مجم‎,ARABIC LIGATURE MEEM WITH JEEM WITH MEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER JEEM, ARABIC LETTER MEEM
FDC0,0645 062C 0649,‎ﷀ‎,‎مجى‎,ARABIC LIGATURE MEEM WITH JEEM WITH YEH FINAL FORM,ABIC LETTER MEEM, ARABIC LETTER JEEM, ARABIC LETTER ALEF MAKSURA
FCCF,0645 062D,‎ﳏ‎,‎مح‎,ARABIC LIGATURE MEEM WITH HAH INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER HAH
FC46,0645 062D,‎ﱆ‎,‎مح‎,ARABIC LIGATURE MEEM WITH HAH ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER HAH
FD89,0645 062D 062C,‎ﶉ‎,‎محج‎,ARABIC LIGATURE MEEM WITH HAH WITH JEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER HAH, ARABIC LETTER JEEM
FD8A,0645 062D 0645,‎ﶊ‎,‎محم‎,ARABIC LIGATURE MEEM WITH HAH WITH MEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER HAH, ARABIC LETTER MEEM
FDF4,0645 062D 0645 062F,‎ﷴ‎,‎محمد‎,ARABIC LIGATURE MOHAMMAD ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER HAH, ARABIC LETTER MEEM, ARABIC LETTER DAL
FD8B,0645 062D 0649,‎ﶋ‎,‎محى‎,ARABIC LIGATURE MEEM WITH HAH WITH YEH FINAL FORM,ABIC LETTER MEEM, ARABIC LETTER HAH, ARABIC LETTER ALEF MAKSURA
FCD0,0645 062E,‎ﳐ‎,‎مخ‎,ARABIC LIGATURE MEEM WITH KHAH INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER KHAH
FC47,0645 062E,‎ﱇ‎,‎مخ‎,ARABIC LIGATURE MEEM WITH KHAH ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER KHAH
FD8E,0645 062E 062C,‎ﶎ‎,‎مخج‎,ARABIC LIGATURE MEEM WITH KHAH WITH JEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER KHAH, ARABIC LETTER JEEM
FD8F,0645 062E 0645,‎ﶏ‎,‎مخم‎,ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER KHAH, ARABIC LETTER MEEM
FDB9,0645 062E 0649,‎ﶹ‎,‎مخى‎,ARABIC LIGATURE MEEM WITH KHAH WITH YEH FINAL FORM,ABIC LETTER MEEM, ARABIC LETTER KHAH, ARABIC LETTER ALEF MAKSURA
FCD1,0645 0645,‎ﳑ‎,‎مم‎,ARABIC LIGATURE MEEM WITH MEEM INITIAL FORM,ABIC LETTER MEEM, ARABIC LETTER MEEM
FC89,0645 0645,‎ﲉ‎,‎مم‎,ARABIC LIGATURE MEEM WITH MEEM FINAL FORM,ABIC LETTER MEEM, ARABIC LETTER MEEM
FC48,0645 0645,‎ﱈ‎,‎مم‎,ARABIC LIGATURE MEEM WITH MEEM ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER MEEM
FDB1,0645 0645 0649,‎ﶱ‎,‎ممى‎,ARABIC LIGATURE MEEM WITH MEEM WITH YEH FINAL FORM,ABIC LETTER MEEM, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC49,0645 0649,‎ﱉ‎,‎مى‎,ARABIC LIGATURE MEEM WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC4A,0645 0649,‎ﱊ‎,‎مى‎,ARABIC LIGATURE MEEM WITH YEH ISOLATED FORM,ABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
1EE0D,0646,‎𞸍‎,‎ن‎,ARABIC MATHEMATICAL NOON,ABIC LETTER NOON
1EE2D,0646,‎𞸭‎,‎ن‎,ARABIC MATHEMATICAL INITIAL NOON,ABIC LETTER NOON
1EE4D,0646,‎𞹍‎,‎ن‎,ARABIC MATHEMATICAL TAILED NOON,ABIC LETTER NOON
1EE6D,0646,‎𞹭‎,‎ن‎,ARABIC MATHEMATICAL STRETCHED NOON,ABIC LETTER NOON
1EE8D,0646,‎𞺍‎,‎ن‎,ARABIC MATHEMATICAL LOOPED NOON,ABIC LETTER NOON
1EEAD,0646,‎𞺭‎,‎ن‎,ARABIC MATHEMATICAL DOUBLE-STRUCK NOON,ABIC LETTER NOON
FEE7,0646,‎ﻧ‎,‎ن‎,ARABIC LETTER NOON INITIAL FORM,ABIC LETTER NOON
FEE8,0646,‎ﻨ‎,‎ن‎,ARABIC LETTER NOON MEDIAL FORM,ABIC LETTER NOON
FEE6,0646,‎ﻦ‎,‎ن‎,ARABIC LETTER NOON FINAL FORM,ABIC LETTER NOON
FEE5,0646,‎ﻥ‎,‎ن‎,ARABIC LETTER NOON ISOLATED FORM,ABIC LETTER NOON
0768,0646 0615,‎ݨ‎,‎نؕ‎,ARABIC LETTER NOON WITH SMALL TAH,ABIC LETTER NOON, ARABIC SMALL HIGH TAH
0769,0646 0306,‎ݩ‎,‎ن̆‎,ARABIC LETTER NOON WITH SMALL V,ABIC LETTER NOON, COMBINING BREVE
FCD6,0646 006F,‎ﳖ‎,‎نo‎,ARABIC LIGATURE NOON WITH HEH INITIAL FORM,ABIC LETTER NOON, LATIN SMALL LETTER O
FCEF,0646 006F,‎ﳯ‎,‎نo‎,ARABIC LIGATURE NOON WITH HEH MEDIAL FORM,ABIC LETTER NOON, LATIN SMALL LETTER O
FDB8,0646 062C 062D,‎ﶸ‎,‎نجح‎,ARABIC LIGATURE NOON WITH JEEM WITH HAH INITIAL FORM,ABIC LETTER NOON, ARABIC LETTER JEEM, ARABIC LETTER HAH
FDBD,0646 062C 062D,‎ﶽ‎,‎نجح‎,ARABIC LIGATURE NOON WITH JEEM WITH HAH FINAL FORM,ABIC LETTER NOON, ARABIC LETTER JEEM, ARABIC LETTER HAH
FD98,0646 062C 0645,‎ﶘ‎,‎نجم‎,ARABIC LIGATURE NOON WITH JEEM WITH MEEM INITIAL FORM,ABIC LETTER NOON, ARABIC LETTER JEEM, ARABIC LETTER MEEM
FD97,0646 062C 0645,‎ﶗ‎,‎نجم‎,ARABIC LIGATURE NOON WITH JEEM WITH MEEM FINAL FORM,ABIC LETTER NOON, ARABIC LETTER JEEM, ARABIC LETTER MEEM
FD99,0646 062C 0649,‎ﶙ‎,‎نجى‎,ARABIC LIGATURE NOON WITH JEEM WITH ALEF MAKSURA FINAL FORM,ABIC LETTER NOON, ARABIC LETTER JEEM, ARABIC LETTER ALEF MAKSURA
FDC7,0646 062C 0649,‎ﷇ‎,‎نجى‎,ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM,ABIC LETTER NOON, ARABIC LETTER JEEM, ARABIC LETTER ALEF MAKSURA
FCD3,0646 062D,‎ﳓ‎,‎نح‎,ARABIC LIGATURE NOON WITH HAH INITIAL FORM,ABIC LETTER NOON, ARABIC LETTER HAH
FC4C,0646 062D,‎ﱌ‎,‎نح‎,ARABIC LIGATURE NOON WITH HAH ISOLATED FORM,ABIC LETTER NOON, ARABIC LETTER HAH
FD95,0646 062D 0645,‎ﶕ‎,‎نحم‎,ARABIC LIGATURE NOON WITH HAH WITH MEEM INITIAL FORM,ABIC LETTER NOON, ARABIC LETTER HAH, ARABIC LETTER MEEM
FD96,0646 062D 0649,‎ﶖ‎,‎نحى‎,ARABIC LIGATURE NOON WITH HAH WITH ALEF MAKSURA FINAL FORM,ABIC LETTER NOON, ARABIC LETTER HAH, ARABIC LETTER ALEF MAKSURA
FDB3,0646 062D 0649,‎ﶳ‎,‎نحى‎,ARABIC LIGATURE NOON WITH HAH WITH YEH FINAL FORM,ABIC LETTER NOON, ARABIC LETTER HAH, ARABIC LETTER ALEF MAKSURA
FCD4,0646 062E,‎ﳔ‎,‎نخ‎,ARABIC LIGATURE NOON WITH KHAH INITIAL FORM,ABIC LETTER NOON, ARABIC LETTER KHAH
FC4D,0646 062E,‎ﱍ‎,‎نخ‎,ARABIC LIGATURE NOON WITH KHAH ISOLATED FORM,ABIC LETTER NOON, ARABIC LETTER KHAH
FC8A,0646 0631,‎ﲊ‎,‎نر‎,ARABIC LIGATURE NOON WITH REH FINAL FORM,ABIC LETTER NOON, ARABIC LETTER REH
FC8B,0646 0632,‎ﲋ‎,‎نز‎,ARABIC LIGATURE NOON WITH ZAIN FINAL FORM,ABIC LETTER NOON, ARABIC LETTER ZAIN
FCD5,0646 0645,‎ﳕ‎,‎نم‎,ARABIC LIGATURE NOON WITH MEEM INITIAL FORM,ABIC LETTER NOON, ARABIC LETTER MEEM
FCEE,0646 0645,‎ﳮ‎,‎نم‎,ARABIC LIGATURE NOON WITH MEEM MEDIAL FORM,ABIC LETTER NOON, ARABIC LETTER MEEM
FC8C,0646 0645,‎ﲌ‎,‎نم‎,ARABIC LIGATURE NOON WITH MEEM FINAL FORM,ABIC LETTER NOON, ARABIC LETTER MEEM
FC4E,0646 0645,‎ﱎ‎,‎نم‎,ARABIC LIGATURE NOON WITH MEEM ISOLATED FORM,ABIC LETTER NOON, ARABIC LETTER MEEM
FD9B,0646 0645 0649,‎ﶛ‎,‎نمى‎,ARABIC LIGATURE NOON WITH MEEM WITH ALEF MAKSURA FINAL FORM,ABIC LETTER NOON, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FD9A,0646 0645 0649,‎ﶚ‎,‎نمى‎,ARABIC LIGATURE NOON WITH MEEM WITH YEH FINAL FORM,ABIC LETTER NOON, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC8D,0646 0646,‎ﲍ‎,‎نن‎,ARABIC LIGATURE NOON WITH NOON FINAL FORM,ABIC LETTER NOON, ARABIC LETTER NOON
FC8E,0646 0649,‎ﲎ‎,‎نى‎,ARABIC LIGATURE NOON WITH ALEF MAKSURA FINAL FORM,ABIC LETTER NOON, ARABIC LETTER ALEF MAKSURA
FC4F,0646 0649,‎ﱏ‎,‎نى‎,ARABIC LIGATURE NOON WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER NOON, ARABIC LETTER ALEF MAKSURA
FC8F,0646 0649,‎ﲏ‎,‎نى‎,ARABIC LIGATURE NOON WITH YEH FINAL FORM,ABIC LETTER NOON, ARABIC LETTER ALEF MAKSURA
FC50,0646 0649,‎ﱐ‎,‎نى‎,ARABIC LIGATURE NOON WITH YEH ISOLATED FORM,ABIC LETTER NOON, ARABIC LETTER ALEF MAKSURA
06C2,06C0,‎ۂ‎,‎ۀ‎,ARABIC LETTER HEH GOAL WITH HAMZA ABOVE,ABIC LETTER HEH WITH YEH ABOVE
FBA5,06C0,‎ﮥ‎,‎ۀ‎,ARABIC LETTER HEH WITH YEH ABOVE FINAL FORM,ABIC LETTER HEH WITH YEH ABOVE
FBA4,06C0,‎ﮤ‎,‎ۀ‎,ARABIC LETTER HEH WITH YEH ABOVE ISOLATED FORM,ABIC LETTER HEH WITH YEH ABOVE
102E4,0648,𐋤,‎و‎,COPTIC EPACT DIGIT FOUR,ABIC LETTER WAW
1EE05,0648,‎𞸅‎,‎و‎,ARABIC MATHEMATICAL WAW,ABIC LETTER WAW
1EE85,0648,‎𞺅‎,‎و‎,ARABIC MATHEMATICAL LOOPED WAW,ABIC LETTER WAW
1EEA5,0648,‎𞺥‎,‎و‎,ARABIC MATHEMATICAL DOUBLE-STRUCK WAW,ABIC LETTER WAW
FEEE,0648,‎ﻮ‎,‎و‎,ARABIC LETTER WAW FINAL FORM,ABIC LETTER WAW
FEED,0648,‎ﻭ‎,‎و‎,ARABIC LETTER WAW ISOLATED FORM,ABIC LETTER WAW
08B1,0648,‎ࢱ‎,‎و‎,ARABIC LETTER STRAIGHT WAW,ABIC LETTER WAW
06CB,0648 06DB,‎ۋ‎,‎وۛ‎,ARABIC LETTER VE,ABIC LETTER WAW, ARABIC SMALL HIGH THREE DOTS
FBDF,0648 06DB,‎ﯟ‎,‎وۛ‎,ARABIC LETTER VE FINAL FORM,ABIC LETTER WAW, ARABIC SMALL HIGH THREE DOTS
FBDE,0648 06DB,‎ﯞ‎,‎وۛ‎,ARABIC LETTER VE ISOLATED FORM,ABIC LETTER WAW, ARABIC SMALL HIGH THREE DOTS
06C7,0648 0313,‎ۇ‎,‎و̓‎,ARABIC LETTER U,ABIC LETTER WAW, COMBINING COMMA ABOVE
FBD8,0648 0313,‎ﯘ‎,‎و̓‎,ARABIC LETTER U FINAL FORM,ABIC LETTER WAW, COMBINING COMMA ABOVE
FBD7,0648 0313,‎ﯗ‎,‎و̓‎,ARABIC LETTER U ISOLATED FORM,ABIC LETTER WAW, COMBINING COMMA ABOVE
06C6,0648 0306,‎ۆ‎,‎و̆‎,ARABIC LETTER OE,ABIC LETTER WAW, COMBINING BREVE
FBDA,0648 0306,‎ﯚ‎,‎و̆‎,ARABIC LETTER OE FINAL FORM,ABIC LETTER WAW, COMBINING BREVE
FBD9,0648 0306,‎ﯙ‎,‎و̆‎,ARABIC LETTER OE ISOLATED FORM,ABIC LETTER WAW, COMBINING BREVE
06C9,0648 0302,‎ۉ‎,‎و̂‎,ARABIC LETTER KIRGHIZ YU,ABIC LETTER WAW, COMBINING CIRCUMFLEX ACCENT
FBE3,0648 0302,‎ﯣ‎,‎و̂‎,ARABIC LETTER KIRGHIZ YU FINAL FORM,ABIC LETTER WAW, COMBINING CIRCUMFLEX ACCENT
FBE2,0648 0302,‎ﯢ‎,‎و̂‎,ARABIC LETTER KIRGHIZ YU ISOLATED FORM,ABIC LETTER WAW, COMBINING CIRCUMFLEX ACCENT
06C8,0648 0670,‎ۈ‎,‎وٰ‎,ARABIC LETTER YU,ABIC LETTER WAW, ARABIC LETTER SUPERSCRIPT ALEF
FBDC,0648 0670,‎ﯜ‎,‎وٰ‎,ARABIC LETTER YU FINAL FORM,ABIC LETTER WAW, ARABIC LETTER SUPERSCRIPT ALEF
FBDB,0648 0670,‎ﯛ‎,‎وٰ‎,ARABIC LETTER YU ISOLATED FORM,ABIC LETTER WAW, ARABIC LETTER SUPERSCRIPT ALEF
0624,0648 0674,‎ؤ‎,‎وٴ‎,ARABIC LETTER WAW WITH HAMZA ABOVE,ABIC LETTER WAW, ARABIC LETTER HIGH HAMZA
FE86,0648 0674,‎ﺆ‎,‎وٴ‎,ARABIC LETTER WAW WITH HAMZA ABOVE FINAL FORM,ABIC LETTER WAW, ARABIC LETTER HIGH HAMZA
FE85,0648 0674,‎ﺅ‎,‎وٴ‎,ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM,ABIC LETTER WAW, ARABIC LETTER HIGH HAMZA
0676,0648 0674,‎ٶ‎,‎وٴ‎,ARABIC LETTER HIGH HAMZA WAW,ABIC LETTER WAW, ARABIC LETTER HIGH HAMZA
0677,0648 0313 0674,‎ٷ‎,‎و̓ٴ‎,ARABIC LETTER U WITH HAMZA ABOVE,ABIC LETTER WAW, COMBINING COMMA ABOVE, ARABIC LETTER HIGH HAMZA
FBDD,0648 0313 0674,‎ﯝ‎,‎و̓ٴ‎,ARABIC LETTER U WITH HAMZA ABOVE ISOLATED FORM,ABIC LETTER WAW, COMBINING COMMA ABOVE, ARABIC LETTER HIGH HAMZA
FDF8,0648 0633 0644 0645,‎ﷸ‎,‎وسلم‎,ARABIC LIGATURE WASALLAM ISOLATED FORM,ABIC LETTER WAW, ARABIC LETTER SEEN, ARABIC LETTER LAM, ARABIC LETTER MEEM
FBE1,06C5,‎ﯡ‎,‎ۅ‎,ARABIC LETTER KIRGHIZ OE FINAL FORM,ABIC LETTER KIRGHIZ OE
FBE0,06C5,‎ﯠ‎,‎ۅ‎,ARABIC LETTER KIRGHIZ OE ISOLATED FORM,ABIC LETTER KIRGHIZ OE
066E,0649,‎ٮ‎,‎ى‎,ARABIC LETTER DOTLESS BEH,ABIC LETTER ALEF MAKSURA
1EE1C,0649,‎𞸜‎,‎ى‎,ARABIC MATHEMATICAL DOTLESS BEH,ABIC LETTER ALEF MAKSURA
1EE7C,0649,‎𞹼‎,‎ى‎,ARABIC MATHEMATICAL STRETCHED DOTLESS BEH,ABIC LETTER ALEF MAKSURA
06BA,0649,‎ں‎,‎ى‎,ARABIC LETTER NOON GHUNNA,ABIC LETTER ALEF MAKSURA
1EE1D,0649,‎𞸝‎,‎ى‎,ARABIC MATHEMATICAL DOTLESS NOON,ABIC LETTER ALEF MAKSURA
1EE5D,0649,‎𞹝‎,‎ى‎,ARABIC MATHEMATICAL TAILED DOTLESS NOON,ABIC LETTER ALEF MAKSURA
FB9F,0649,‎ﮟ‎,‎ى‎,ARABIC LETTER NOON GHUNNA FINAL FORM,ABIC LETTER ALEF MAKSURA
FB9E,0649,‎ﮞ‎,‎ى‎,ARABIC LETTER NOON GHUNNA ISOLATED FORM,ABIC LETTER ALEF MAKSURA
08BD,0649,‎ࢽ‎,‎ى‎,ARABIC LETTER AFRICAN NOON,ABIC LETTER ALEF MAKSURA
FBE8,0649,‎ﯨ‎,‎ى‎,ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA INITIAL FORM,ABIC LETTER ALEF MAKSURA
FBE9,0649,‎ﯩ‎,‎ى‎,ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA MEDIAL FORM,ABIC LETTER ALEF MAKSURA
FEF0,0649,‎ﻰ‎,‎ى‎,ARABIC LETTER ALEF MAKSURA FINAL FORM,ABIC LETTER ALEF MAKSURA
FEEF,0649,‎ﻯ‎,‎ى‎,ARABIC LETTER ALEF MAKSURA ISOLATED FORM,ABIC LETTER ALEF MAKSURA
064A,0649,‎ي‎,‎ى‎,ARABIC LETTER YEH,ABIC LETTER ALEF MAKSURA
1EE09,0649,‎𞸉‎,‎ى‎,ARABIC MATHEMATICAL YEH,ABIC LETTER ALEF MAKSURA
1EE29,0649,‎𞸩‎,‎ى‎,ARABIC MATHEMATICAL INITIAL YEH,ABIC LETTER ALEF MAKSURA
1EE49,0649,‎𞹉‎,‎ى‎,ARABIC MATHEMATICAL TAILED YEH,ABIC LETTER ALEF MAKSURA
1EE69,0649,‎𞹩‎,‎ى‎,ARABIC MATHEMATICAL STRETCHED YEH,ABIC LETTER ALEF MAKSURA
1EE89,0649,‎𞺉‎,‎ى‎,ARABIC MATHEMATICAL LOOPED YEH,ABIC LETTER ALEF MAKSURA
1EEA9,0649,‎𞺩‎,‎ى‎,ARABIC MATHEMATICAL DOUBLE-STRUCK YEH,ABIC LETTER ALEF MAKSURA
FEF3,0649,‎ﻳ‎,‎ى‎,ARABIC LETTER YEH INITIAL FORM,ABIC LETTER ALEF MAKSURA
FEF4,0649,‎ﻴ‎,‎ى‎,ARABIC LETTER YEH MEDIAL FORM,ABIC LETTER ALEF MAKSURA
FEF2,0649,‎ﻲ‎,‎ى‎,ARABIC LETTER YEH FINAL FORM,ABIC LETTER ALEF MAKSURA
FEF1,0649,‎ﻱ‎,‎ى‎,ARABIC LETTER YEH ISOLATED FORM,ABIC LETTER ALEF MAKSURA
06CC,0649,‎ی‎,‎ى‎,ARABIC LETTER FARSI YEH,ABIC LETTER ALEF MAKSURA
FBFE,0649,‎ﯾ‎,‎ى‎,ARABIC LETTER FARSI YEH INITIAL FORM,ABIC LETTER ALEF MAKSURA
FBFF,0649,‎ﯿ‎,‎ى‎,ARABIC LETTER FARSI YEH MEDIAL FORM,ABIC LETTER ALEF MAKSURA
FBFD,0649,‎ﯽ‎,‎ى‎,ARABIC LETTER FARSI YEH FINAL FORM,ABIC LETTER ALEF MAKSURA
FBFC,0649,‎ﯼ‎,‎ى‎,ARABIC LETTER FARSI YEH ISOLATED FORM,ABIC LETTER ALEF MAKSURA
06D2,0649,‎ے‎,‎ى‎,ARABIC LETTER YEH BARREE,ABIC LETTER ALEF MAKSURA
FBAF,0649,‎ﮯ‎,‎ى‎,ARABIC LETTER YEH BARREE FINAL FORM,ABIC LETTER ALEF MAKSURA
FBAE,0649,‎ﮮ‎,‎ى‎,ARABIC LETTER YEH BARREE ISOLATED FORM,ABIC LETTER ALEF MAKSURA
0679,0649 0615,‎ٹ‎,‎ىؕ‎,ARABIC LETTER TTEH,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FB68,0649 0615,‎ﭨ‎,‎ىؕ‎,ARABIC LETTER TTEH INITIAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FB69,0649 0615,‎ﭩ‎,‎ىؕ‎,ARABIC LETTER TTEH MEDIAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FB67,0649 0615,‎ﭧ‎,‎ىؕ‎,ARABIC LETTER TTEH FINAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FB66,0649 0615,‎ﭦ‎,‎ىؕ‎,ARABIC LETTER TTEH ISOLATED FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
06BB,0649 0615,‎ڻ‎,‎ىؕ‎,ARABIC LETTER RNOON,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FBA2,0649 0615,‎ﮢ‎,‎ىؕ‎,ARABIC LETTER RNOON INITIAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FBA3,0649 0615,‎ﮣ‎,‎ىؕ‎,ARABIC LETTER RNOON MEDIAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FBA1,0649 0615,‎ﮡ‎,‎ىؕ‎,ARABIC LETTER RNOON FINAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
FBA0,0649 0615,‎ﮠ‎,‎ىؕ‎,ARABIC LETTER RNOON ISOLATED FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH
067E,0649 06DB,‎پ‎,‎ىۛ‎,ARABIC LETTER PEH,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
FB58,0649 06DB,‎ﭘ‎,‎ىۛ‎,ARABIC LETTER PEH INITIAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
FB59,0649 06DB,‎ﭙ‎,‎ىۛ‎,ARABIC LETTER PEH MEDIAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
FB57,0649 06DB,‎ﭗ‎,‎ىۛ‎,ARABIC LETTER PEH FINAL FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
FB56,0649 06DB,‎ﭖ‎,‎ىۛ‎,ARABIC LETTER PEH ISOLATED FORM,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
062B,0649 06DB,‎ث‎,‎ىۛ‎,ARABIC LETTER THEH,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
1EE16,0649 06DB,‎𞸖‎,‎ىۛ‎,ARABIC MATHEMATICAL THEH,ABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH THREE DOTS
